"SOURCE","Source","BRANCH","Branch","TYPEXP","Type of Expenditure","TYPROG","Type of Programme","UNIT","Measure","COUNTRY","Country","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2009","2009","PC","Percentage","0","Units",,,25.331,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2011","2011","PC","Percentage","0","Units",,,25.15,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","DNK","Denmark","2013","2013","PC","Percentage","0","Units",,,25.413,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2001","2001","PC","Percentage","0","Units",,,27.144,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2003","2003","PC","Percentage","0","Units",,,28.236,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2005","2005","PC","Percentage","0","Units",,,29.329,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2007","2007","PC","Percentage","0","Units",,,28.27,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2009","2009","PC","Percentage","0","Units",,,30.787,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2011","2011","PC","Percentage","0","Units",,,30.508,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","FRA","France","2013","2013","PC","Percentage","0","Units",,,31.211,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","1995","1995","PC","Percentage","0","Units",,,18.742,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","1997","1997","PC","Percentage","0","Units",,,17.717,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","1999","1999","PC","Percentage","0","Units",,,19.093,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2001","2001","PC","Percentage","0","Units",,,18.284,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2003","2003","PC","Percentage","0","Units",,,20.777,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2005","2005","PC","Percentage","0","Units",,,18.19,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2007","2007","PC","Percentage","0","Units",,,17.182,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2009","2009","PC","Percentage","0","Units",,,19.806,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2011","2011","PC","Percentage","0","Units",,,18.956,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","NOR","Norway","2013","2013","PC","Percentage","0","Units",,,19.266,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2001","2001","PC","Percentage","0","Units",,,16.979,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2003","2003","PC","Percentage","0","Units",,,17.899,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2005","2005","PC","Percentage","0","Units",,,16.995,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2007","2007","PC","Percentage","0","Units",,,16.469,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2009","2009","PC","Percentage","0","Units",,,19.3,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2011","2011","PC","Percentage","0","Units",,,18.91,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","CZE","Czech Republic","2013","2013","PC","Percentage","0","Units",,,19.116,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2009","2009","PC","Percentage","0","Units",,,19.999,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2011","2011","PC","Percentage","0","Units",,,20.277,,
"50","Net Total","90","Total","0","Total","0","Total","PCT_GDP","In percentage of Gross Domestic Product","HUN","Hungary","2013","2013","PC","Percentage","0","Units",,,19.172,,
